,candidate_name,party,office_sought,%_votes,state,last_name
0,James Averhart,D,Alabama 1,35.50%,Alabama,Averhart
1,Phyllis Harvey-Hall,D,Alabama 2,34.70%,Alabama,Harvey-Hall
2,Adia Winfrey,D,Alabama 3,32.50%,Alabama,Winfrey
3,Terri Sewell,D,Alabama 7,97.20%,Alabama,Sewell
4,William Hanson,D,Arkansas 4,27.50%,Arkansas,Hanson
5,Joyce Elliott,D,Arkansas 2,44.60%,Arkansas,Elliott
6,Tamika Hamilton,R,California 3,45.30%,California,Hamilton
7,Barbara Lee,D,California 13,90.40%,California,Lee
8,Ronda Baldwin-Kennedy,R,California 26,39.40%,California,Baldwin-Kennedy
9,Karen Bass,D,California 37,85.90%,California,Bass
10,Errol Webber,R,California 37,14.10%,California,Webber
11,Joe Collins III,R,California 43,28.30%,California,III
12,Maxine Waters,D,California 43,71.70%,California,Waters
13,Joe Neguse,D,Colorado 2,61.50%,Colorado,Neguse
14,Casper Stockham,R,Colorado 7,37.60%,Colorado,Stockham
15,Jahana Hayes,D,Connecticut 5,55.10%,Connecticut,Hayes
16,Lisa Blunt Rochester,D,Delaware,57.60%,Delaware,Rochester
17,Al Lawson,D,Florida 5,65.10%,Florida,Lawson
18,Val Demings,D,Florida 10,63.60%,Florida,Demings
19,Vienna Francois,R,Florida 10,36.40%,Florida,Francois
20,Kimberly Walker,D,Florida 12,37.10%,Florida,Walker
21,Allen Ellison,D,Florida 17,34.10%,Florida,Ellison
22,Pam Keith,D,Florida 18,41.50%,Florida,Keith
23,Byron Donalds,R,Florida 19,61.30%,Florida,Donalds
24,Alcee Hastings,D,Florida 20,78.70%,Florida,Hastings
25,Carla Spalding,R,Florida 23,41.80%,Florida,Spalding
26,Lavern Spicer,R,Florida 24,20.40%,Florida,Spicer
27,Frederica Wilson,D,Florida 24,75.60%,Florida,Wilson
28,Joyce Griggs,D,Georgia 1,41.70%,Georgia,Griggs
29,Sanford Bishop,D,Georgia 2,59.10%,Georgia,Bishop
30,Val Almonord,D,Georgia 3,35.00%,Georgia,Almonord
31,Hank Johnson,D,Georgia 4,80.10%,Georgia,Johnson
32,Nikema Williams,D,Georgia 5,85.10%,Georgia,Williams
33,Angela Stanton-King,R,Georgia 5,14.90%,Georgia,Stanton-King
34,Lucy McBath,D,Georgia 6,54.60%,Georgia,McBath
35,Devin Pandy,D,Georgia 9,21.40%,Georgia,Pandy
36,Tabitha Johnson-Green,D,Georgia 10,37.70%,Georgia,Johnson-Green
37,Liz Johnson,D,Georgia 12,41.60%,Georgia,Johnson
38,David Scott,D,Georgia 13,77.40%,Georgia,Scott
39,Bobby Rush,D,Illinois 1,73.80%,Illinois,Rush
40,Philanise White,R,Illinois 1,26.20%,Illinois,White
41,Robin kelly,D,Illinois 2,78.80%,Illinois,kelly
42,Danny Davis,D,Illinois 7,80.40%,Illinois,Davis
43,Lauren Underwood,D,Illinois 14,50.70%,Illinois,Underwood
44,Erika Weaver,D,Illinois 15,26.50%,Illinois,Weaver
45,Jeannine Lee Lake,D,Indiana 6,27.80%,Indiana,Lake
46,Andre Carson,D,Indiana 7,62.40%,Indiana,Carson
47,Cedric Richmond,D,Louisiana 2,63.60%,Louisiana,Richmond
48,Braylon Harris,D,Louisiana 3,17.90%,Louisiana,Harris
49,Kenny Houston,D,Louisiana 4,25.50%,Louisiana,Houston
50,Dartanyon Williams,D,Louisiana 6,25.50%,Louisiana,Williams
51,Anthony Brown,D,Maryland 4,79.60%,Maryland,Brown
52,Kweisi Mfume,D,Maryland 7,71.60%,Maryland,Mfume
53,Kimberly Klacik,R,Maryland 7,28.00%,Maryland,Klacik
54,Ayanna Pressley,D,Massachusetts 7,86.60%,Massachusetts,Pressley
55,Brenda Lawrence,D,Michigan 14,79.30%,Michigan,Lawrence
56,Kenall Qualls,R,Minnesota 3,44.30%,Minnesota,Qualls
57,Lacy Johnson,R,Minnesota 5,25.80%,Minnesota,Johnson
58,Bennie Thompson,D,Mississippi 2,66.00%,Mississippi,Thompson
59,Dot Benford,D,Mississippi 3,35.30%,Mississippi,Benford
60,Cori Bush,D,Missouri 1,78.80%,Missouri,Bush
61,Emanuel Cleaver,D,Missouri 5,58.80%,Missouri,Cleaver
62,Gena L. Ross,D,Missouri 6,30.80%,Missouri,Ross
63,Steven Horsford,D,Nevada 4,50.70%,Nevada,Horsford
64,Christian Onuoha,R,New Jersey 6,38.80%,New Jersey,Onuoha
65,Billy Prempeh,R,New Jersey 9,31.90%,New Jersey,Prempeh
66,Donald Payne Jr.,D,New Jersey 10,83.30%,New Jersey,Jr.
67,Bonnie Watson Coleman,D,New Jersey 12,65.60%,New Jersey,Coleman
68,Jackie Gordon,D,New York 2,46.00%,New York,Gordon
69,Gregory Meeks,D,New York 5,100%,New York,Meeks
70,Hakeem Jeffries,D,New York 8,84.80%,New York,Jeffries
71,Constantine Jean-Pierre,R,New York 9,15.90%,New York,Jean-Pierre
72,Yvette Clarke,D,New York 9,83.10%,New York,Clarke
73,Ritchie Torres,D,New York 15,88.90%,New York,Torres
74,Patrick Delices,R,New York 15,11.10%,New York,Delices
75,Jamaal Bowman,D,New York 16,84.20%,New York,Bowman
76,Mondaire Jones,D,New York 17,59.30%,New York,Jones
77,Kyle Van De Water,R,New York 19,43.20%,New York,Water
78,Daryl Farrow,D,North Carolina 3,36.60%,North Carolina,Farrow
79,Patricia Timmons-Goodson,D,North Carolina 8,46.70%,North Carolina,Timmons-Goodson
80,Cynthia Wallace,D,North Carolina 9,44.40%,North Carolina,Wallace
81,Alma Adams,D,North Carolina 12,100%,North Carolina,Adams
82,Joyce Beatty,D,Ohio 3,70.80%,Ohio,Beatty
83,Vanessa Enoch,D,Ohio 8,31.00%,Ohio,Enoch
84,Desiree Tims,D,Ohio 10,41.60%,Ohio,Tims
85,Laverne Gore,R,Ohio 11,19.90%,Ohio,Gore
86,Marcia Fudge,D,Ohio 11,80.10%,Ohio,Fudge
87,Kojo Asamoa-Caesar,D,Oklahoma 1,32.70%,Oklahoma,Asamoa-Caesar
88,Danyell Lanier,D,Oklahoma 2,22%,Oklahoma,Lanier
89,Dwight Evans,D,Pennsylvania 3,91.00%,Pennsylvania,Evans
90,Michael Harvey,R,Pennsylvania 3,9.00%,Pennsylvania,Harvey
91,Kathy Barnette,R,Pennsylvania 4,40.50%,Pennsylvania,Barnette
92,Robert Williams,D,Pennsylvania 15,26.50%,Pennsylvania,Williams
93,Hosea Cleveland,D,South Carolina 3,28.70%,South Carolina,Cleveland
94,Moe Brown,D,South Carolina 5,39.90%,South Carolina,Brown
95,Jim Clyburn,D,South Carolina 6,68.20%,South Carolina,Clyburn
96,Melissa Watson,D,South Carolina 7,38.10%,South Carolina,Watson
97,Erika Stotts Pearson,D,Tennessee 8,29.50%,Tennessee,Pearson
98,Charlotte Bergmann,R,Tennessee 9,20.10%,Tennessee,Bergmann
99,Wesley Hunt,R,Texas 7,47.40%,Texas,Hunt
100,Al Green,D,Texas 9,75.50%,Texas,Green
101,Sheila Jackson Lee,D,Texas 18,73.30%,Texas,Lee
102,Wendell Champion,R,Texas 18,23.50%,Texas,Champion
103,Candace Valenzuela,D,Texas 24,47.50%,Texas,Valenzuela
104,Eddie Bernice Johnson,D,Texas 30,77.50%,Texas,Johnson
105,Tre Pennie,R,Texas 30,18.40%,Texas,Pennie
106,Colin Allred,D,Texas 32,52.00%,Texas,Allred
107,Marc Veasey,D,Texas 33,66.80%,Texas,Veasey
108,Rashad Lewis,D,Texas 36,24.30%,Texas,Lewis
109,Burgess Owens,R,Utah 4,47.70%,Utah,Owens
110,Donald McEachin,D,Virginia 4,61.60%,Virginia,McEachin
111,Leon Benjamin,R,Virginia 4,38.20%,Virginia,Benjamin
112,Cameron Webb,D,Virginia 5,47.30%,Virginia,Webb
113,Nicholas Betts,D,Virginia 6,35.30%,Virginia,Betts
114,Marilyn Strickland,D,Washington 10,49.30%,Washington,Strickland
115,Gwen Moore,D,Wisconsin4,74.70%,Wisconsin4,Moore
116,Tim Rogers,R,Wisconsin 4,22.70%,Wisconsin,Rogers
117,Eleanor Holmes Norton,D,District of Columbia,86.80%,District of Columbia,Norton
118,Stacey Plaskett,D,US Virgin Islands,88.10%,US Virgin Islands,Plaskett
119,Mike Espy,D,Mississippi Senate,44.10%,Mississippi,Espy
120,Raphael Warnock,D,Georgia Senate,51.00%,Georgia,Warnock
121,Jaime Harrison,D,South Carolina Senate,44.20%,South Carolina,Harrison
122,Marquita Bradshaw,D,Tennessee Senate,35.20%,Tennessee,Bradshaw
123,John James,R,Michigan Senate,48.20%,Michigan,James
